name,price,img
حبوب الإفطار سانتي كرانشى كلاسيك، 350 جم,41.00,https://cf5.s3.souqcdn.com/item/2018/08/13/23/37/63/83/item_L_23376383_144766597.jpg
أرز بسمتي ذهبي فاخر من  اضياف - 1 كجم,47.72,https://cf1.s3.souqcdn.com/item/2018/10/03/39/15/75/31/item_L_39157531_152085059.jpg
أرز بسمتي بني من دريا - 1 كجم,49.99,https://cf4.s3.souqcdn.com/item/2018/10/03/39/15/75/00/item_L_39157500_152085030.jpg
ارز من كيرنيل - 1 كجم,46.00,https://cf1.s3.souqcdn.com/item/2018/08/30/37/56/06/93/item_L_37560693_146348757.jpg
رقائق الشوفان الابيض من  هانيا - 250 جم,17.75,https://cf3.s3.souqcdn.com/item/2018/10/03/39/15/75/12/item_L_39157512_152085043.jpg
شوكو رايز من تيميز، 30 جرام,4.45,https://cf5.s3.souqcdn.com/item/2019/08/05/38/55/80/03/item_L_38558003_ec98fafc92b46.jpg
أرز أبيض من دريا - 1 كجم,39.00,https://cf1.s3.souqcdn.com/item/2018/10/03/39/15/75/16/item_L_39157516_152085044.jpg
أرز بسمتي فاخر من  نهرين - 2 كجم,131.59,https://cf5.s3.souqcdn.com/item/2018/10/03/39/15/75/34/item_L_39157534_152085062.jpg
أرز بسمتي من دريا - 500 جم,39.50,https://cf3.s3.souqcdn.com/item/2018/10/03/39/15/74/88/item_L_39157488_152085015.jpg
ارز من كيرنيل - 5 كجم,217.37,https://cf4.s3.souqcdn.com/item/2018/08/30/37/56/06/56/item_L_37560656_146348649.jpg
رقائق الشوفان الابيض من دريا - 250 جم,19.50,https://cf3.s3.souqcdn.com/item/2018/10/03/39/15/74/89/item_L_39157489_152085017.jpg
خلطة شيش طاووك من كنور، 30 جم,4.50,https://cf1.s3.souqcdn.com/item/2020/05/11/24/48/10/63/item_L_24481063_fe2725e930ed5.jpg
أرز بسمتي فاخر من نهرين - 1 كجم,75.00,https://cf4.s3.souqcdn.com/item/2018/10/03/39/15/75/05/item_L_39157505_152085034.jpg
أرز بسمتي ذهبي فاخر من دريا - 2 كجم,111.75,https://cf2.s3.souqcdn.com/item/2018/10/03/39/15/75/25/item_L_39157525_152085054.jpg
زيت دوار الشمس كريستال - 2.4 لتر,59.95,https://cf3.s3.souqcdn.com/item/2020/04/29/22/20/48/42/item_L_22204842_a21d57b30cf84.jpg
"Al Wadi Akdhar Foul Moudammas, 400g",7.00,https://cf3.s3.souqcdn.com/item/2017/02/11/21/98/10/99/item_L_21981099_28581886.jpg
شراب بنكهة الشوكولاتة من موجو - 624 جرام,62.00,https://cf1.s3.souqcdn.com/item/2020/03/23/12/20/57/84/4/item_L_122057844_bff1be71faafb.jpg
دبس رمان من يمامة - 750 مل,82.00,https://cf4.s3.souqcdn.com/item/2020/07/07/30/59/27/36/item_L_30592736_1a2ade38496a4.jpg
شطة حارة جدا من رنا - 100 مل,23.00,https://cf1.s3.souqcdn.com/item/2020/06/18/30/59/53/45/item_L_30595345_bdcb3a99a6461.jpg
زجاجة شطة من رنا - 100 مل,9.50,https://cf2.s3.souqcdn.com/item/2020/06/21/30/59/41/12/item_L_30594112_d3b5bac4591d7.jpg
ملح طبيعي هيمالايا من دوبيلا - 650 جرام,52.00,https://cf5.s3.souqcdn.com/item/2020/11/05/13/20/29/31/7/item_L_132029317_d4458f385c07a.jpg
ملون طعام جل من دوبيلا، 30 مل - ازرق,20.50,https://cf4.s3.souqcdn.com/item/2020/11/05/13/20/29/32/0/item_L_132029320_1efaa8b4ceeda.jpg
ملون طعام جل من دوبيلا، 30 مل - اسود,20.50,https://cf1.s3.souqcdn.com/item/2020/11/05/13/20/29/32/2/item_L_132029322_b51d1c9bbc011.jpg
